File,Time,TrainMSE,TrainRMSE,TrainR2,TrainMAPE,ValidationMSE,ValidationRMSE,ValidationR2,ValidationMAPE,TestMSE,TestRMSE,TestR2,TestMAPE
Abies spectabilis_merged.csv,1549.69278550148,79.8700634944255,8.937005286695621,0.2992634163809279,48.585013967672595,77.08877302627678,8.78002124292856,0.2975944568271698,47.79122452050017,82.93860564060009,9.10706350261159,0.38490607359240303,47.02820067067922
Picea smithiana_merged.csv,512.7725141048431,211.2408429034283,14.53412683663619,0.38094313237273114,42.660971241203654,250.80030259672188,15.836675869535307,0.27625686993772747,45.52232554231262,209.35073963839832,14.468957793787302,0.2930315385175789,45.753188938470366
Abies pindrow_merged.csv,154.46712398529053,184.24834422111164,13.573810968961945,0.20914724301489507,45.879368421944,149.18670816599138,12.214201085866868,0.1489661842427219,40.589749843256484,276.65379261588083,16.632912932372395,-0.9558641388735949,50.89523792959283
Juniperus excelsa M.-Bieb_merged.csv,68.4439685344696,20.786732835079075,4.559246959211475,0.15506082782771502,50.13840099896475,24.902579811741756,4.990248471944233,0.05030907541216201,58.08899797897579,84.82518042373263,9.210058654738994,-0.25760378886225777,70.94864574547431
Juniperus turkestanica Komar._merged.csv,15.512003183364868,10.648456465115473,3.2631972764629897,0.76277074907202,33.81151885513201,9.49001994149748,3.0805875967901772,0.44812962656786504,42.03120461296502,3.0111777867479095,1.735274556589795,0.4460273915217753,34.9320390661363
Pinus roxburghii_merged.csv,27.61411452293396,192.51734140207404,13.875061852189129,0.27824574138720215,44.70462488651254,150.6415458181427,12.273611767452264,0.32751812577343653,44.069762444767626,173.65477538115235,13.177813755746905,0.27130827577561456,45.5639143359497
Pinus gerardiana_merged.csv,44.12529516220093,21.00405354378812,4.58301795150184,0.4588972508391287,36.667363304720304,22.83436673852592,4.778531860155995,0.42293712683465157,36.27257348053991,18.976552162003454,4.356208461724881,0.5276579746613044,34.63723877914836
Populus ciliata_merged.csv,15.765911102294922,196.8930438623622,14.031858175678737,0.4578829069053867,39.59726742932423,236.66194569213476,15.383820906788234,-0.00836793511539291,47.63383110593334,90.1549317326611,9.494995088606476,0.549517832616583,34.89134913707528
Betula utilis_merged.csv,12.44573712348938,5.709328599320597,2.3894201387199776,0.1571587162059599,59.44595801957144,1.531615416208517,1.2375845087138562,0.20238641014311332,46.84597050029182,1.4552825587366864,1.2063509268602923,0.44386421735326953,46.17114873675832
Tsuga dumosa_merged.csv,218.98947429656982,266.34290468091933,16.320015462030646,0.31608707371873823,46.67616046316443,224.07685840822944,14.969196986085441,0.2889247789763384,42.84380648845511,410.94008392428015,20.271657157822105,0.32923860712029596,47.431747864567946
Cedrus deodara_merged.csv,124.13116383552551,242.9923451388545,15.588211736400506,0.4311042947187764,42.18076501301986,299.31618560810847,17.300756792929853,0.3290983980686679,45.03183938395735,219.22378362641513,14.806207604461553,0.3779613670967539,42.27255949060853
Juniperus spp. L._merged.csv,20.559452056884766,4.668749564671953,2.160728942896807,0.6275127256612552,39.653420173780205,1.528171700936164,1.2361924206757473,0.3219145053750361,43.36435692768485,12.815573519936875,3.5798845679626146,0.3239709700164446,52.86173780005894
Juniperus recurva_merged.csv,54.65240263938904,10.916900254944368,3.304073282320531,0.5662027504651068,37.55520332396432,8.26183020125989,2.87433995923584,0.7000012428854079,30.826120143399276,3.2964013553202194,1.8155994479290358,0.6495521582075092,28.289918950318327
Juniperus spp. _merged.csv,202.14300966262817,32.93041917148284,5.738503216996818,0.46292742581334034,42.478352979699515,9.706379221921207,3.1155062545148593,0.5066076382678231,42.65821542722045,49.51966131260988,7.037020769658839,0.5261109669736539,42.975772670787656
