File,Time,TrainMSE,TrainRMSE,TrainR2,TrainMAPE,ValidationMSE,ValidationRMSE,ValidationR2,ValidationMAPE,TestMSE,TestRMSE,TestR2,TestMAPE
Abies spectabilis_merged.csv,1168.560742855072,77.89503418640211,8.825816346741084,0.31659125148335576,47.63538356366841,74.39982930012906,8.625533566112248,0.32209515782914544,46.730105902563146,80.42711177038994,8.968116400359104,0.4035319549156352,46.12047405088087
Picea smithiana_merged.csv,184.7916362285614,212.78006549517028,14.586982741306382,0.3764323270609926,42.675974544702,242.17029471108498,15.561821702843307,0.30116078295116644,45.01833026205308,217.14815772134065,14.735947805327646,0.26669999235177844,45.89369402988274
Abies pindrow_merged.csv,37.78492212295532,183.82189930378308,13.55809349812071,0.21097768084052249,45.87656999878252,156.50999956649372,12.510395659869983,0.10719055489149598,41.33045273884505,273.5350575027295,16.53889529269502,-0.9338155628942739,50.83330877103236
Juniperus turkestanica Komar._merged.csv,18.247904062271118,11.272667221703617,3.357479295796717,0.7488644096235084,34.42737777861056,9.598583783037556,3.09815812750698,0.44181634502143063,42.69410313855413,2.892633382814105,1.7007743479997883,0.46783625081820046,34.246522448742
Pinus roxburghii_merged.csv,21.282240629196167,189.3965922083286,13.762143445275107,0.28994553946380264,44.467399403218025,154.82183736654395,12.442742357155192,0.30885680442271146,44.82135963925067,172.00703832741496,13.115145379576049,0.27822252476255394,45.3404961054315
Pinus wallichiana_merged.csv,40.59623050689697,31.20484454600355,5.586129657106389,0.537101033695785,31.740203375516497,25.010928828341914,5.001092763421002,0.5816405332926777,33.02885799385695,47.477751279260715,6.890410095143881,-0.12603535730198856,45.09364574172158
Pinus gerardiana_merged.csv,45.682225942611694,20.303220760884763,4.505909537583368,0.4769519822623032,36.05206698982972,22.350074624193397,4.727586553855296,0.43517600353082597,36.2446582915029,18.258252146024677,4.272967604139385,0.5455370541406408,34.15636269139
Populus ciliata_merged.csv,12.82108998298645,194.33734464741465,13.940492984375217,0.46491966250656513,38.567980124876456,232.11991176475397,15.235481999751565,0.010984738417237683,47.38655277261955,83.56986652723714,9.14165556818004,0.5824217945972434,33.115423380376605
Betula utilis_merged.csv,13.490237712860107,5.1136865759026895,2.2613461866557913,0.24509054198298197,56.94267744621511,1.5124406177959386,1.2298132450888382,0.2123719976703654,45.39486630406478,1.3935869122708002,1.180502821797051,0.4674411896925702,44.961095192255016
Tsuga dumosa_merged.csv,92.50226473808289,269.7607522015164,16.424395033045098,0.30731075545264797,47.001906712968314,224.35767713243433,14.97857393520606,0.2880336417219157,42.45732116513838,412.5560674583222,20.311476250098668,0.32660090053345336,47.56362125239725
Cedrus deodara_merged.csv,150.50915050506592,241.9242968875524,15.553915805595464,0.4336048181935044,42.203419136889345,300.1568100245309,17.325034199808407,0.3272141823305361,45.11886517104804,211.69285992969253,14.549668722334971,0.3993300589572638,41.735892135086424
Juniperus spp. L._merged.csv,10.42617130279541,4.6043852792155935,2.1457831389065376,0.6326479073458364,39.62824044155567,1.5344469875070403,1.2387279715526893,0.3191300140801644,43.10658364441331,13.091571264173691,3.6182276412870555,0.3094119269097274,53.14038182177261
Juniperus recurva_merged.csv,15.366733312606812,10.546311049505329,3.2475084371723084,0.5809285951895711,36.91815750654768,8.336364010590097,2.8872762269291274,0.6972948146948761,30.97689944868992,3.50584226149927,1.8723894524108147,0.6272860244325515,29.245474004441995
Juniperus spp. _merged.csv,22.018192768096924,30.23987804173002,5.499079744987339,0.5068083081970906,41.8940331030691,9.776918459168488,3.126806431355879,0.503022004524849,43.06474815525673,46.08833175313776,6.78883876323026,0.5589478120535876,42.317250216803934
