File,Time,TrainMSE,TrainRMSE,TrainR2,TrainMAPE,ValidationMSE,ValidationRMSE,ValidationR2,ValidationMAPE,TestMSE,TestRMSE,TestR2,TestMAPE
Picea smithiana_merged.csv,828.5964715480804,44.833335197038956,6.695769948037265,0.8686126050678058,18.84363375016911,56.131884745593766,7.4921215116676905,0.8380182737363182,20.771987008059376,46.97886882789904,6.854113278017737,0.8413543765127804,21.222696028175722
Abies pindrow_merged.csv,364.3192846775055,36.819517571987504,6.067908830230354,0.8419588674961274,18.90341715396161,34.3405055248749,5.860077262705237,0.8041049915830887,18.403635119859132,48.46286075227376,6.9615271853432965,0.6573812687823757,19.925200328494576
Juniperus excelsa M.-Bieb_merged.csv,144.3722686767578,4.782721990820525,2.186943527121934,0.805591903657201,22.519793163079402,5.475800278304771,2.340042794118255,0.7911735302737748,24.97901110722921,12.864501855329122,3.586711844479442,0.8092730696914499,26.69320819925069
Juniperus turkestanica Komar._merged.csv,96.33884286880493,2.9455994106575334,1.7162748645416717,0.9343771236691994,17.349609702085303,2.015430351115817,1.4196585332803862,0.88279726414134,19.153251102172163,0.9808271366092823,0.9903671726230037,0.8195552020458763,19.631252429499433
Pinus roxburghii_merged.csv,181.8711233139038,54.52854662874244,7.3843446986677455,0.7955705680400728,22.44273440176246,39.547450270521026,6.288676352820284,0.8234554529139809,22.214212896181593,57.7981629241415,7.602510304112814,0.7574668309250204,24.034191554644018
Pinus wallichiana_merged.csv,188.12899732589722,7.359792813195861,2.712893807946758,0.8908233469832211,14.902490071637384,7.331305738935155,2.707638406238018,0.8773687622614943,15.97240799562768,9.30935189571764,3.051123054830408,0.7792090167353102,19.87350353703751
Pinus gerardiana_merged.csv,135.79231524467468,7.4637230900752325,2.731981531796149,0.8077208728022122,21.169631647205637,9.754605721021187,3.123236417727801,0.7534846983748227,22.26989629403745,7.7906937055428145,2.791181417526065,0.8060832119420677,21.594020838587987
Populus ciliata_merged.csv,23.64762544631958,97.18806537623276,9.858400751452173,0.7324064352314879,24.937007765699565,105.46749376301271,10.269736791321028,0.550624674378568,30.719439370061124,59.734496334366455,7.728809503045501,0.7015213160378498,28.40008070703916
Betula utilis_merged.csv,83.8679084777832,1.0663550015290544,1.0326446637295204,0.8425790348490546,23.38700092734441,0.3065822340112942,0.5536986852172345,0.8403423250587071,20.000007321573094,0.3511189733700785,0.5925529287498953,0.8658199922173213,21.614170541908653
Tsuga dumosa_merged.csv,303.84023690223694,66.20252904487043,8.136493657889154,0.8300057385777202,20.886070581562624,72.50511215968766,8.514993374024883,0.7699156038667408,22.15267391573821,108.95787749882643,10.438289012037673,0.8221523269806029,22.561169378422694
Cedrus deodara_merged.csv,866.484790802002,62.54227375396493,7.908367325432281,0.8535755070110479,20.133257384388777,91.03923422017147,9.541448224466318,0.7959403099006345,22.477731364725628,60.430482980002544,7.773704585331407,0.8285309449698126,20.862576150532053
Juniperus spp. L._merged.csv,132.1799533367157,1.7089126620887998,1.3072538629083488,0.8636576644844833,22.93105005528056,0.6882247010975223,0.8295930936896246,0.6946186174165219,26.87749450556309,2.7954593421655685,1.6719627215238886,0.8525378778793845,24.273307744329646
Juniperus recurva_merged.csv,54.87091088294983,1.8579159042333184,1.3630538889689279,0.9261732918409215,14.95918841010967,2.518928130717728,1.5871131436409087,0.9085341516264684,17.782698446082858,0.7946351466136765,0.8914231019071003,0.9155205504045273,13.142027445025645
Juniperus spp. _merged.csv,417.84486842155457,6.250651665159375,2.5001303296347124,0.8980561540176681,19.586732834191753,2.74902160563463,1.6580173719339102,0.8602623870914055,22.41133220843782,8.803296249892847,2.9670349256274093,0.9157549660735692,19.89764672845648
