File,Time,TrainMSE,TrainRMSE,TrainR2,TrainMAPE,ValidationMSE,ValidationRMSE,ValidationR2,ValidationMAPE,TestMSE,TestRMSE,TestR2,TestMAPE
Abies spectabilis_merged.csv,2006.6978845596313,77.00133489800805,8.775040449935718,0.3244320839396334,47.46373124068325,75.59727235699934,8.694669191924403,0.31118448163388657,47.21424317848242,80.452687920761,8.969542235853567,0.40334227563862524,46.266067762814586
Picea smithiana_merged.csv,234.4166464805603,211.82891721429422,14.55434358582668,0.37921973723847124,42.736665575388024,246.35712628992857,15.695767782747316,0.28907869787972906,45.44970289448359,220.8555540968129,14.861209711756741,0.25418027392995557,46.53978381734098
Abies pindrow_merged.csv,112.37558603286743,191.3374330681951,13.83247747398112,0.17871860886391344,46.43181356306991,158.53098729048813,12.590908914390896,0.09566185427537999,41.121948697963674,293.12351555160234,17.120850316254806,-1.0723004261284275,51.19058998781141
Juniperus excelsa M.-Bieb_merged.csv,52.469165325164795,19.529110482128495,4.4191753169713115,0.20618066461198303,48.502516737692794,24.34115779986922,4.933675891246731,0.07171960370159636,57.60944345634723,92.7416836430182,9.630248368708784,-0.37497252764219113,71.80028085645382
Juniperus turkestanica Komar._merged.csv,84.34057903289795,10.280685097493079,3.2063507446149866,0.7709640610641983,32.29550522795121,9.037951849716785,3.0063186540546205,0.47441861101318084,41.26699695764965,2.966983316331293,1.722493342898977,0.45415793969623164,34.59197843180574
Pinus roxburghii_merged.csv,69.10888171195984,187.31390962762688,13.686267191152849,0.29775358943484787,44.22552649652923,150.8547935895517,12.282295941295002,0.32656616222172896,44.2861689238171,167.1352056050965,12.928078186841867,0.29866575287860786,44.87134229902296
Pinus wallichiana_merged.csv,92.22524619102478,31.92016725470587,5.649793558591842,0.5264897921642311,32.19700267669284,26.96619935134303,5.192898935213647,0.5489345934659111,34.648957085756294,52.32698051875765,7.233739041378093,-0.2410450920136955,46.835181583250105
Pinus gerardiana_merged.csv,94.23775172233582,19.17456759339189,4.378877435301415,0.5060281475132786,34.96934798320498,21.64593903753958,4.65251964397138,0.4529706947252554,35.50672723654781,17.818562186826437,4.221203878850965,0.5564812996535127,33.48320250970404
Populus ciliata_merged.csv,5.369783878326416,208.03411616246478,14.423387818486502,0.42720754321142795,41.274659092926996,270.6301083141804,16.45083913708296,-0.15309929825314805,50.35239712591098,95.6740410122008,9.781310802351635,0.5219401919652036,36.463345435860056
Betula utilis_merged.csv,22.995959043502808,5.451230738750961,2.334787086385172,0.19526048743224633,58.73169613967825,1.4504660783475412,1.2043529708302052,0.24464624508655475,45.63132679730452,1.374253453267894,1.1722855681393907,0.4748294651098084,45.02066442880326
Tsuga dumosa_merged.csv,28.48138952255249,272.22026845821847,16.49909901958948,0.30099523162680164,47.36656462564898,229.35633208396368,15.144514917420224,0.2721711394549292,43.412969689097594,412.2618548838374,20.304232437692328,0.3270811321876147,47.735035787777456
Cedrus deodara_merged.csv,609.4869401454926,230.71097949569625,15.189173101117001,0.459857530403582,40.8375364580816,287.10516774433313,16.944177989632106,0.35646875703998404,43.8303501786572,208.3242454030564,14.433441911167842,0.4088883666384121,40.95656749000845
Juniperus spp. L._merged.csv,15.51814341545105,4.651729192065055,2.156786774826166,0.6288706636086119,39.18995820123852,1.5948018490216667,1.262854642871327,0.2923491516298944,43.776515762497546,15.980838477949145,3.997604092196868,0.15700138446671297,56.43337589794915
Juniperus recurva_merged.csv,91.80262494087219,10.141978613486454,3.1846473295306112,0.596995271127486,36.47796484985161,7.886969703528174,2.8083749221797603,0.7136129585308981,30.19768926162824,2.964106566266804,1.721658086342002,0.6848791645730155,26.803891216824294
