File,Time,TrainMSE,TrainRMSE,TrainR2,TrainMAPE,ValidationMSE,ValidationRMSE,ValidationR2,ValidationMAPE,TestMSE,TestRMSE,TestR2,TestMAPE
Abies spectabilis_merged.csv,572.5720365047455,79.60382289760751,8.922097449457024,0.3015992668619778,48.20631984411062,77.53482424759149,8.805386093045067,0.2935301963896134,47.73611536667424,83.59647317815062,9.1431106948429,0.3800271595619269,47.03863352477738
Picea smithiana_merged.csv,70.38398385047913,213.58124601496075,14.614419113155362,0.3740844084664231,42.76386993346274,249.76439036643927,15.803935913766521,0.2792462377823909,45.607713189386885,217.0284049815289,14.731883959002966,0.2671043922137959,46.11720319714611
Abies pindrow_merged.csv,98.57941818237305,180.0218843417316,13.417223421473297,0.22728855908492374,45.3980793243752,150.54729064370292,12.269771417744623,0.14120475755871054,40.601252756727135,277.6190466392384,16.661904052035542,-0.962688212063908,50.95909383684343
Juniperus excelsa M.-Bieb_merged.csv,17.663882732391357,21.17349257706692,4.601466350748088,0.1393398167954618,50.57406882010128,25.411224079246466,5.040954679348592,0.030911292196742268,58.83882001929187,87.82053308747336,9.371261019066397,-0.30201238121751883,71.66448127364978
Juniperus turkestanica Komar._merged.csv,6.1998536586761475,11.232364258369367,3.3514719539881828,0.7497622901598363,34.12526347840571,9.410481943585138,3.067650883589125,0.4527549766599114,42.38644178029725,2.9395074341561007,1.7144991788146475,0.4592127345960274,34.81987331410408
Pinus wallichiana_merged.csv,43.30983567237854,28.639451858233805,5.351584051309837,0.5751565869475346,30.947663505277806,24.457776879317205,4.945480449796279,0.5908931426615811,33.062201021947516,50.78855387988301,7.126608862557494,-0.2045580482234639,46.14517149948624
Pinus gerardiana_merged.csv,10.51683235168457,20.230072695807653,4.497785310106258,0.47883640990511545,35.78144760943881,22.654456741108863,4.759669814294775,0.42748375522200643,36.27907865995817,18.265687051458418,4.273837508780419,0.5453519932159379,33.850361896789465
Populus ciliata_merged.csv,11.037490844726562,192.99019805995246,13.892091205428809,0.46862883972096103,39.10088637764231,242.4446836959775,15.570635301617513,-0.033006993850394295,48.065130590779034,91.1506905012455,9.547287075459996,0.5445422693318911,35.31047836045802
Betula utilis_merged.csv,12.031828880310059,5.195679073039836,2.2794032273908527,0.23298637590699622,57.09348774642532,1.4891029253453854,1.2202880501526618,0.22452547984185045,45.2190656136052,1.3786498318550122,1.1741592020910163,0.4731493903836461,44.37357586684169
Tsuga dumosa_merged.csv,17.662978172302246,271.1416313730828,16.466378817854363,0.30376494627782424,47.476387996248626,228.18663804538525,15.105847809553268,0.2758829928472011,43.84427258480471,407.3000891789425,20.181677065569712,0.335180027879599,47.75530671870713
Cedrus deodara_merged.csv,195.88961219787598,237.92319088491047,15.42475902193971,0.44297224094082266,41.73856295161255,296.96447522543633,17.23265723054446,0.33436963410225495,44.85916088066795,211.40055148252608,14.53962005977206,0.40015947237150973,41.47767485912961
Juniperus spp. L._merged.csv,17.413782358169556,4.707123456936099,2.169590619664479,0.624451137898356,39.93762873947567,1.5505339809491518,1.2452043932419898,0.31199183916268614,43.38690618917665,14.408801823213405,3.795892757074863,0.23992724128820553,54.97552450298361
Juniperus recurva_merged.csv,17.960277795791626,10.659304744170713,3.2648590695726383,0.5764386435718095,37.10473052885194,8.226342456861165,2.868160117019474,0.7012898531513021,30.96389681664231,3.1881785663425584,1.785547133609908,0.6610575663001174,27.829538472008856
Juniperus spp. _merged.csv,16.765406131744385,35.17296754919078,5.9306801927933,0.42635299827016715,43.15490688854248,10.044021102558208,3.1692303643878916,0.4894447064372851,43.377895808653925,53.766141961321935,7.332539939292655,0.4854733584956894,44.00017875460906
